order_id,symbol,direction,status,open_time,open_price,sl,tp1,tp2,tp3,rr,score,regime,volume,close_time,close_price,pnl_r,pnl_usdt,exit_reason,mfe_r,mae_r,max_r_before_stop,note
260629162408079,BTC/USDT,Long,OPEN,2026-07-08T00:59:24.194683,63967.7,63417.93,64792.35,65067.23,65617.0,1.5,45.08,mud,0,,,,,,,,,adx=17.8 atr=274.9 vol_ratio=0.87
260629162408080,ETH/USDT,Long,OPEN,2026-07-08T00:59:26.865103,1801.39,1782.02,1830.44,1840.13,1859.5,1.5,41.49,trend,0,,,,,,,,,adx=26.1 atr=9.7 vol_ratio=0.93
260629162408081,BTC/USDT,Long,OPEN,2026-07-08T01:00:22.501992,63957.6,63443.25,64729.13,64986.31,65500.66,1.5,41.5,mud,0,,,,,,,,,adx=18.8 atr=257.2 vol_ratio=0.03
260629162408082,BTC/USDT,Long,OPEN,2026-07-08T01:02:25.589964,64015.5,63491.95,64800.83,65062.61,65586.16,1.5,42.33,mud,0,,,,,,,,,adx=18.8 atr=261.8 vol_ratio=0.18
260629162408083,BTC/USDT,Long,OPEN,2026-07-08T01:04:36.713845,63993.2,63469.65,64778.53,65040.31,65563.86,1.5,42.27,mud,0,,,,,,,,,adx=18.8 atr=261.8 vol_ratio=0.19
260629162408084,ETH/USDT,Long,OPEN,2026-07-08T01:04:39.374573,1800.64,1782.28,1828.17,1837.35,1855.71,1.5,42.91,trend,0,,,,,,,,,adx=27.7 atr=9.2 vol_ratio=0.15
260629162408085,BTC/USDT,Long,OPEN,2026-07-08T01:08:19.469224,64072.0,63541.57,64867.64,65132.85,65663.28,1.5,45.91,mud,0,,,,,,,,,adx=18.8 atr=265.2 vol_ratio=0.33
260629162408086,ETH/USDT,Long,OPEN,2026-07-08T01:08:23.062652,1805.0,1786.25,1833.12,1842.5,1861.25,1.5,42.31,trend,0,,,,,,,,,adx=27.7 atr=9.4 vol_ratio=0.33
260629162408087,BTC/USDT,Long,OPEN,2026-07-08T01:09:16.984720,64079.4,63543.65,64883.03,65150.91,65686.66,1.5,45.91,mud,0,,,,,,,,,adx=18.8 atr=267.9 vol_ratio=0.37
260629162408088,ETH/USDT,Long,OPEN,2026-07-08T01:09:19.709952,1805.55,1786.57,1834.02,1843.51,1862.48,1.5,42.31,trend,0,,,,,,,,,adx=27.7 atr=9.5 vol_ratio=0.37
260629162408089,BTC/USDT,Long,OPEN,2026-07-08T01:11:28.555801,64037.7,63501.95,64841.33,65109.21,65644.96,1.5,42.33,mud,0,,,,,,,,,adx=18.8 atr=267.9 vol_ratio=0.42
260629162408090,BTC/USDT,Long,OPEN,2026-07-08T01:14:07.121137,64027.1,63491.35,64830.73,65098.61,65634.36,1.5,42.21,mud,0,,,,,,,,,adx=18.8 atr=267.9 vol_ratio=0.46
