ts,open,high,low,close,volume,quote
1765558800000,89996.80,90584.90,89777.00,90043.50,9773.241,881306177.47170
1765562400000,90043.90,90617.70,89995.60,90323.70,6899.426,623574077.13220
1765566000000,90323.80,90359.60,89955.60,90147.30,4768.392,429818467.93040
1765569600000,90147.40,90286.70,89843.00,90160.00,5437.168,489796700.32740
1765573200000,90160.00,90314.00,90059.80,90151.00,2100.107,189427937.18280
1765576800000,90150.90,90357.50,90144.20,90294.50,1061.726,95838160.70800
1765580400000,90294.70,90341.30,90187.40,90229.60,1438.155,129851943.81240
1765584000000,90229.70,90398.00,90162.00,90276.90,1528.444,138025367.08720
1765587600000,90276.90,90321.10,90077.00,90192.20,1801.067,162481403.61050
1765591200000,90192.10,90282.00,90184.00,90195.00,1037.079,93569636.35850
1765594800000,90194.90,90432.00,90165.30,90304.00,1224.590,110600455.03140
1765598400000,90304.10,90379.50,90229.00,90334.80,1063.199,96010672.79520
1765602000000,90334.80,90350.90,90226.80,90301.30,745.199,67288194.25880
1765605600000,90301.40,90339.30,90232.30,90317.40,693.811,62642455.12620
1765609200000,90317.50,90362.10,90274.50,90286.10,1294.391,116902925.61490
1765612800000,90286.00,90536.00,90280.40,90413.90,3181.139,287675341.65450
1765616400000,90414.00,90472.70,90338.00,90375.30,1107.853,100163877.24000
1765620000000,90375.30,90599.00,90366.80,90546.70,1610.211,145725839.49380
1765623600000,90546.70,90563.10,90239.00,90298.40,1994.163,180252019.47300
1765627200000,90298.50,90441.90,90241.10,90309.80,1525.925,137843783.59260
1765630800000,90309.80,90419.30,90153.60,90215.00,1941.466,175244314.68500
1765634400000,90215.10,90305.50,89888.00,90048.50,3751.182,337961038.80790
1765638000000,90048.50,90259.00,89999.00,90055.40,1802.831,162432471.27720
1765641600000,90055.30,90236.60,89993.40,90054.00,1722.394,155161770.47660
1765645200000,90054.10,90070.10,89944.00,90022.50,1281.928,115381189.79700
1765648800000,90022.50,90163.00,90011.60,90089.10,838.651,75564687.93110
1765652400000,90089.20,90195.60,90074.70,90150.90,733.989,66165337.61290
1765656000000,90150.80,90187.30,90000.20,90058.40,796.766,71791173.72220
1765659600000,90058.50,90150.00,89711.90,90137.80,2391.184,215060298.35670
1765663200000,90137.90,90227.40,89957.30,90092.40,1163.293,104823575.02460
1765666800000,90092.30,90248.00,90018.20,90191.30,1006.978,90803273.30630
1765670400000,90191.30,90440.00,90071.60,90303.50,4471.692,403689732.65330
1765674000000,90303.60,90405.00,90166.00,90256.60,1266.074,114303236.07840
1765677600000,90256.50,90349.80,90200.00,90244.90,903.962,81597955.03400
1765681200000,90245.00,90262.30,90200.00,90222.30,444.922,40144850.75890
1765684800000,90222.40,90300.00,90086.00,90159.30,931.076,83975343.59960
1765688400000,90159.30,90185.80,90005.80,90161.00,1564.205,140926020.06440
1765692000000,90161.10,90202.00,90055.00,90105.00,752.592,67828019.25680
1765695600000,90105.10,90235.60,90035.20,90205.10,752.066,67787326.77500
1765699200000,90205.10,90250.00,90064.50,90072.40,940.348,84785372.71680
1765702800000,90072.30,90112.30,89939.20,89991.40,1907.357,171697007.75250
1765706400000,89991.40,90101.00,89740.00,89819.00,3430.770,308363385.34620
1765710000000,89818.90,89825.00,88412.80,89308.20,18363.478,1638837025.89620
1765713600000,89308.30,89630.80,89055.40,89382.90,5797.350,518118470.92240
1765717200000,89382.80,89459.40,89035.10,89450.50,3740.291,333745870.01210
1765720800000,89450.40,89527.20,88838.70,89074.10,4954.839,441550162.49800
1765724400000,89074.10,89146.60,88831.70,88985.20,2773.219,246783673.20730
1765728000000,88985.20,89372.80,88435.00,88780.00,7360.863,654114929.36110
1765731600000,88779.90,88991.40,88551.00,88760.70,4041.648,358813170.06570
